category,name,price
shirts,Set - Strick-Top und Bolero - 2 teilig,39.99
sweaters,Strickjacke,25.99
other,Strick-Weste,17.99
sweaters,Lange Strickjacke,25.99
sweaters,Basic-Strickjacke,7.99
sweaters,Strickjacke - Zopfmuster,29.99
sweaters,Crop Strickjacke - Leo-Print,12.99
sweaters,Basic-Strickjacke,12.99
sweaters,Strickjacke - gestreift,25.99
sweaters,Strickjacke,17.99
sweaters,Strickjacke,19.99
other,Häschen - Strampler-Set - 2 teilig,12.99
other,Schaf - Strampler-Set - 2 teilig,12.99
other,Bärchen - Strampler-Set - 2 teilig,12.99
other,Bärchen - Strampler-Set - 2 teilig,12.99
other,Winnie Puuh - Strampler-Set - 2 teilig,15.99
other,Micky Maus - Strampler-Set - 2 teilig,15.99
other,Dino - Strampler-Set - 2 teilig,12.99
other,Giraffe - Strampler-Set - 2 teilig,12.99
jeans,Bootcut Jeans - Mid Waist,39.99
jeans,Jegging Jeans - High Waist,19.99
jeans,Jegging Jeans - High Waist,19.99
jeans,Bootcut Jeans - Mid Waist,39.99
jeans,Straight Jeans - Mid Waist - LYCRA®,39.99
jeans,Premium Denim by C&A - Straight Jeans - Mid Waist - LYCRA®,59.99
jeans,Baggy Jeans - Mid Waist,29.99
jeans,Slim Jeans - Mid Waist - Shaping Jeans - LYCRA®,39.99
jeans,Premium Denim by C&A - Skinny Jeans - Mid Waist,59.99
other,Parka mit Kapuze,59.99
shirts,T-Shirt - geblümt,12.99
jeans,Straight Jeans - High Waist,39.99
accessories,Cape mit Kapuze - faltbar - wasserabweisend - Leo-Print,35.99
shirts,Multipack 2er - Basic-T-Shirt,15.99
jeans,Jeansjacke,35.99
jackets,Trenchcoat,49.99
jeans,Jeansbluse,29.99
jeans,Wide Flared Jeans - Mid Waist,29.99
jeans,Jeansrock - LYCRA®,29.99
jeans,Stoffhose - Mid Waist - Wide Leg - Jeans-Look,25.99
jackets,Bouclé-Blouson,49.99
jeans,Jeansjacke,29.99
jeans,Wide Leg Jeans - Mid Waist,39.99
shirts,Bluse,25.99
shirts,Bluse - Leo-Print,22.99
jeans,Wide Leg Jeans - Mid Waist,45.99
jeans,Jeansrock,25.99
jackets,Trenchcoat - Lederimitat,59.99
jeans,Straight Jeans - High Waist,39.99
jeans,Crop Flared Jeans - High Waist,35.99
jeans,Jeans-Trenchcoat,69.99
jeans,Jeansbluse,39.99
jackets,Satin-Blouson,39.99
other,Strick-Weste,25.99
jackets,Trenchcoat,39.99
shirts,T-Shirt,9.99
jackets,Jacke,59.99
shirts,T-Shirt - Relaxed Fit,9.99
jeans,Jeanshemd - Relaxed Fit - Kent - gestreift,29.99
jeans,Regular Jeans,29.99
shirts,Sweatshirt,17.99
jeans,Jeanshemd - Regular Fit - Kent,25.99
jeans,Regular Jeans,29.99
jackets,Jacke,49.99
accessories,Cap,12.99
shirts,T-Shirt - Regular Fit - strukturiert,12.99
jeans,Premium Denim by C&A - Slim Jeans - LYCRA®,59.99
jackets,Bomberjacke,35.99
jeans,Skinny Jeans,25.99
jeans,Jeanshemd,29.99
jeans,Relaxed Jeans,39.99
shirts,T-Shirt - Regular Fit,12.99
jeans,Jeansjacke,39.99
jeans,Wide Leg Jeans,39.99
shirts,Sweatshirt,22.99
shirts,T-Shirt - Relaxed Fit,9.99
jeans,Wide Leg Jeans,29.99
jeans,Jeans-Cap,15.99
jeans,Jeanshemd - Relaxed Fit,29.99
shirts,Sweatshirt - Relax Fit - kurzarm,15.99
jeans,Slim Jeans - Flex Jog Denim,39.99
accessories,Bauchtasche,15.99
jeans,Jeans-Blouson,35.99
sweaters,Hoodie,25.99
jeans,Hose - Baggy Fit,29.99
accessories,Schiebermütze,15.99
jeans,Cargo Jeans,39.99
jeans,Jeansjacke,39.99
jeans,Baggy Jeans,29.99
jackets,Jacke,49.99
shirts,Sweatshirt,19.99
jeans,Relaxed Jeans,39.99
shirts,T-Shirt - Regular Fit,7.99
jeans,Jeansjacke,49.99
accessories,Cap,12.99
jeans,Straight Jeans - LYCRA®,39.99
jeans,Regular Jeans,39.99
jeans,Straight Jeans - Flex - Jog Denim - LYCRA®,39.99
jeans,Skinny Jeans - LYCRA®,25.99
jeans,Jeanshemd - Regular Fit - Kent,25.99
jeans,Slim Jeans,49.99
shirts,Satin-Bluse - gemustert,19.99
shirts,Bluse - gemustert,25.99
shirts,Bluse mit V-Ausschnitt - gemustert,25.99
shirts,Bluse - Broderie Anglaise,19.99
shirts,Musselin-Bluse,19.99
shirts,Bluse,19.99
shirts,Bluse - Leinen-Mix,29.99
shirts,Bluse,19.99
shirts,Bluse - gestreift,15.99
shirts,Bluse,25.99
other,Business-Weste - Nadelstreifen,29.99
shirts,Bluse - gemustert,25.99
shirts,Bluse mit V-Ausschnitt - geblümt,12.99
shirts,Crop Bluse,19.99
shirts,Bluse - gestreift,22.99
shirts,Bluse - gestreift,19.99
shirts,Bluse - strukturiert,15.99
shirts,Popeline-Bluse,17.99
shirts,Musselin-Bluse,19.99
shirts,Bluse - gestreift,19.99
shirts,Bluse - gemustert,22.99
shirts,Bluse,19.99
shirts,Bluse,29.99
shirts,Bluse - gestreift,15.99
shirts,Bluse - geblümt,22.99
shirts,Bluse - gestreift,19.99
shirts,Chiffon-Bluse,19.99
shirts,Popeline-Bluse - gestreift,17.99
other,Tunika - Leinen-Mix,25.99
shirts,Bluse - gemustert,19.99
other,Shacket - Velourslederimitat,39.99
other,Weste - gestreift,22.99
shirts,Bluse,22.99
shirts,Bluse - geblümt,25.99
shirts,Bluse - gestreift,17.99
shirts,Bluse - gemustert,19.99
shirts,Basic-Bluse - geblümt,17.99
other,Corsage,29.99
shirts,Bluse,39.99
shirts,Bluse - geblümt,15.99
